type,times_variable,times_process,label,technology_type,value_pj
node,-,-,Coal,-,-
node,-,-,Coal Exports,-,-
node,-,-,Coal Imports,-,-
node,-,-,Coal Resources,-,-
node,-,-,Coal Electricity,-,-
node,-,-,Gas Electricity,-,-
node,-,-,Nuclear Electricity,-,-
node,-,-,Renewable Electricity,-,-
node,-,-,Electricity,-,-
node,-,-,Electricity Demand,-,-
node,-,-,Gas Exports,-,-
node,-,-,Gas Imports,-,-
node,-,-,Industrial Demand,-,-
node,-,-,Natural Gas,-,-
node,-,-,Nuclear Fuel,-,-
node,-,-,Nuclear Resources,-,-
node,-,-,Oil,-,-
node,-,-,Oil Exports,-,-
node,-,-,Oil Imports,-,-
node,-,-,Residential Gas,-,-
node,-,-,Renewable Electricity,-,-
node,-,-,Renewable Resources,-,-
node,-,-,Residential Heat,-,-
node,-,-,Transport Fuel,-,-
node,-,-,Transport,-,-
flow,VAR_Act,DTPSCOA,Coal → Industrial Demand,existing,3596.806
flow,VAR_Act,DTPSELC,Electricity → Electricity Demand,existing,12100.7039588394
flow,VAR_Act,ELCRERNW00,Renewable Electricity → Electricity,existing,1255.692
flow,VAR_Act,ELCTECOA00,Coal Electricity → Electricity,existing,1842.839039999993
flow,VAR_Act,ELCTEGAS00,Gas Electricity → Electricity,existing,694.4399093999959
flow,VAR_Act,ELCTENUC00,Nuclear Electricity → Electricity,existing,3555.7991700000102
flow,VAR_Act,ELCTNCOA00,Coal Electricity → Electricity,new,3368.93174975463
flow,VAR_Act,ELCTNGAS00,Gas Electricity → Electricity,new,2727.5247517780363
flow,VAR_Act,EXPCOA1,Coal → Coal Exports,existing,1147.069
flow,VAR_Act,EXPGAS1,Natural Gas → Gas Exports,existing,2516.331
flow,VAR_Act,EXPOIL1,Oil → Oil Exports,existing,14830.662
flow,VAR_Act,FTE-ELCCOA,Coal → Coal Electricity,existing,12820.3260708443
flow,VAR_Act,FTE-ELCGAS,Natural Gas → Gas Electricity,existing,6654.12590726545
flow,VAR_Act,FTE-ELCNUC,Nuclear Fuel → Nuclear Electricity,existing,10775.149
flow,VAR_Act,FTE-ELCRNW,Renewable Resources → Renewable Electricity,existing,1255.692
flow,VAR_Act,FTE-RSDGAS,Natural Gas → Residential Gas,existing,4299.8275
flow,VAR_Act,FTE-TRAOIL,Oil → Transport Fuel,existing,13501.1354545455
flow,VAR_Act,IMPCOA1,Coal Imports → Coal,existing,15331.4096708443
flow,VAR_Act,IMPGAS1,Gas Imports → Natural Gas,existing,13470.2844072654
flow,VAR_Act,IMPOIL1,Oil Imports → Oil,existing,28331.7974545455
flow,VAR_Act,MINCOA1,Coal Resources → Coal,existing,208.2019
flow,VAR_Act,MINCOA2,Coal Resources → Coal,existing,2024.5895
flow,VAR_Act,MINNUC1,Nuclear Resources → Nuclear Fuel,existing,10775.149
flow,VAR_Act,MINRNW1,Renewable Resources → Renewable Electricity,existing,1255.692
flow,VAR_Act,ROTNGAS,Residential Gas → Residential Heat,new,5159.793
flow,VAR_Act,TOTNOIL,Transport Fuel → Transport,new,14851.249
